dependency_url,name,description,category,primary_function,integration_patterns,performance_characteristics,languages,reputation_score,popularity_score
https://github.com/cockroachdb/pebble,pebble,RocksDB/LevelDB inspired key-value database in Go,web_library,RocksDB LevelDB inspired key-value database in Go,Frontend component integration; ES6 module imports,"Activity: 69%, Stars: 5158.0, Commits: 254.0","Go, Makefile, CSS, JavaScript, Shell",6,10
https://github.com/grpc/grpc-go,grpc-go,The Go language implementation of gRPC. HTTP/2 based RPC,general_library,The Go language implementation of gRPC. HTTP 2 based RPC,Standard library integration,"Activity: 69%, Stars: 21468.0, Commits: 206.0","Shell, Go, Makefile, Dockerfile",9,10
https://github.com/ethereum/solidity,solidity,"Solidity, the Smart Contract Programming Language",web3_library,Solidity the Smart Contract Programming Language,Web3 provider integration; Python import statements,"Activity: 69%, Stars: 22104.0, Commits: 203.0","C++, CMake, Shell, Python, C",9,10
https://github.com/ethereum/remix-project,remix-project,Remix is a browser-based compiler and IDE that enables users to build Ethereum contracts with Solidity language and to debug transactions.,web3_library,Remix is a browser-based compiler and IDE that enables users to build Ethereum contracts with,Web3 provider integration; ES6 module imports,"Activity: 69%, Stars: 2401.0, Commits: 280.0","JavaScript, Shell, CSS, HTML, TypeScript",6,10
https://github.com/tanstack/query,query,"🤖 Powerful asynchronous state management, server-state utilities and data fetching for the web. TS/JS, React Query, Solid Query, Svelte Query and Vue Query.",api_service,Powerful asynchronous state management server-state utilities and data fetching for the web. TS JS React,REST/GraphQL API integration; ES6 module imports,"Activity: 68%, Stars: 43978.0, Commits: 225.0","JavaScript, TypeScript, Svelte, Vue, HTML",8,10
https://github.com/open-telemetry/opentelemetry-js-contrib,opentelemetry-js-contrib,OpenTelemetry instrumentation for JavaScript modules,web_library,OpenTelemetry instrumentation for JavaScript modules,Frontend component integration; ES6 module imports,"Activity: 68%, Stars: 753.0, Commits: 171.0","JavaScript, TypeScript, Shell",7,10
https://github.com/python/typeshed,typeshed,"Collection of library stubs for Python, with static types",general_library,Collection of library stubs for Python with static types,Python import statements,"Activity: 68%, Stars: 4163.0, Commits: 308.0",Python,10,10
https://github.com/bluealloy/revm,revm,Rust implementation of the Ethereum Virtual Machine.,web3_library,Rust implementation of the Ethereum Virtual Machine.,Web3 provider integration,"Activity: 68%, Stars: 1581.0, Commits: 171.0","Rust, Shell",7,10
https://github.com/vitejs/vite,vite,Next generation frontend tooling. It's fast!,development_tool,Next generation frontend tooling. It s fast,ES6 module imports,"Activity: 68%, Stars: 71010.0, Commits: 239.0","JavaScript, TypeScript, Vue, HTML, AppleScript",10,10
https://github.com/open-telemetry/opentelemetry-js,opentelemetry-js,OpenTelemetry JavaScript Client,development_tool,OpenTelemetry JavaScript Client,ES6 module imports,"Activity: 68%, Stars: 2865.0, Commits: 167.0","TypeScript, Shell, JavaScript, Jinja",7,10
https://github.com/googlechromelabs/chromium-bidi,chromium-bidi,Implementation of WebDriver BiDi for Chromium,web_library,Implementation of WebDriver BiDi for Chromium,Frontend component integration; ES6 module imports,"Activity: 68%, Stars: 110.0, Commits: 188.0","JavaScript, TypeScript, Python, HTML",10,10
https://github.com/networkx/networkx,networkx,Network Analysis in Python,infrastructure,Network Analysis in Python,Python import statements,"Activity: 68%, Stars: 15447.0, Commits: 143.0",Python,8,10
https://github.com/eslint/eslint,eslint,Find and fix problems in your JavaScript code.,web_library,Find and fix problems in your JavaScript code.,Frontend component integration; ES6 module imports,"Activity: 68%, Stars: 25084.0, Commits: 231.0","JavaScript, HTML, EJS, Shell, TypeScript",9,10
https://github.com/bytecodealliance/rustix,rustix,Safe Rust bindings to POSIX-ish APIs,api_service,Safe Rust bindings to POSIX-ish APIs,REST/GraphQL API integration,"Activity: 68%, Stars: 1594.0, Commits: 87.0",Rust,8,10
https://github.com/gitoxidelabs/gitoxide,gitoxide,"An idiomatic, lean, fast & safe pure Rust implementation of Git",general_library,An idiomatic lean fast safe pure Rust implementation of Git,Standard library integration,"Activity: 67%, Stars: 9558.0, Commits: 243.0","Makefile, Rust, Shell, Just, Dockerfile",11,10
https://github.com/honojs/hono,hono,Web framework built on Web Standards,development_framework,Web framework built on Web Standards,Framework scaffolding and templates; ES6 module imports,"Activity: 67%, Stars: 22655.0, Commits: 204.0","JavaScript, TypeScript, Dockerfile, HTML",9,10
https://github.com/latticexyz/mud,mud,MUD is a framework for building ambitious onchain applications,development_framework,MUD is a framework for building ambitious onchain applications,Framework scaffolding and templates; ES6 module imports,"Activity: 67%, Stars: 628.0, Commits: 187.0","JavaScript, TypeScript, Shell, Solidity, HTML",9,10
https://github.com/smithy-lang/smithy-rs,smithy-rs,"Code generation for the AWS SDK for Rust, as well as server and generic smithy client generation.",development_tool,Code generation for the AWS SDK for Rust as well as server and generic smithy,ES6 module imports,"Activity: 67%, Stars: 529.0, Commits: 183.0","Kotlin, Rust, Shell, Python, JavaScript",7,10
https://github.com/alloy-rs/op-alloy,op-alloy,"Transports, Middleware, and Networks for the OP Stack built on Alloy ",infrastructure,Transports Middleware and Networks for the OP Stack built on Alloy,ES6 module imports,"Activity: 67%, Stars: 57.0, Commits: 135.0","Shell, Rust, Just, CSS, JavaScript",7,6
https://github.com/biomejs/biome,biome,"A toolchain for web projects, aimed to provide functionalities to maintain them. Biome offers formatter and linter, usable via CLI and LSP.",development_tool,A toolchain for web projects aimed to provide functionalities to maintain them. Biome offers formatter,ES6 module imports,"Activity: 67%, Stars: 17303.0, Commits: 299.0","Shell, JavaScript, Rust, TypeScript, CSS",10,10
https://github.com/vuejs/language-tools,language-tools,⚡ High-performance Vue language tooling based-on Volar.js,development_tool,High-performance Vue language tooling based-on Volar.js,ES6 module imports,"Activity: 67%, Stars: 6043.0, Commits: 180.0","TypeScript, JavaScript, Vue, HTML",10,10
https://github.com/rustls/rustls,rustls,A modern TLS library in Rust,general_library,A modern TLS library in Rust,Python import statements,"Activity: 67%, Stars: 6491.0, Commits: 199.0","Rust, Shell, Python, Makefile, CSS",9,10
https://github.com/open-telemetry/opentelemetry-go,opentelemetry-go,OpenTelemetry Go API and SDK,api_service,OpenTelemetry Go API and SDK,REST/GraphQL API integration,"Activity: 67%, Stars: 5539.0, Commits: 207.0","Go, Makefile, Shell, Jinja, Dockerfile",7,10
https://github.com/sqlalchemy/sqlalchemy,sqlalchemy,The Database Toolkit for Python,development_tool,The Database Toolkit for Python,Python import statements,"Activity: 66%, Stars: 10091.0, Commits: 183.0","Python, Cython",9,10
https://github.com/cdump/evmole,evmole,"Extracts function selectors, arguments, state mutability and storage layout from EVM bytecode, even for unverified contracts",smart_contract,Extracts function selectors arguments state mutability and storage layout from EVM bytecode even for unverified,Smart contract compilation and deployment; ES6 module imports,"Activity: 66%, Stars: 378.0, Commits: 75.0","Makefile, Python, HTML, Dockerfile, JavaScript",7,10
https://github.com/python-websockets/websockets,websockets,Library for building WebSocket servers and clients in Python,development_tool,Library for building WebSocket servers and clients in Python,Python import statements,"Activity: 66%, Stars: 5328.0, Commits: 75.0","Makefile, Python, HTML, C, Dockerfile",8,10
https://github.com/typescript-eslint/typescript-eslint,typescript-eslint,:sparkles: Monorepo for all the tooling which enables ESLint to support TypeScript,development_tool,sparkles Monorepo for all the tooling which enables ESLint to support TypeScript,ES6 module imports,"Activity: 66%, Stars: 14922.0, Commits: 224.0","JavaScript, TypeScript, Vue, CSS, MDX",9,10
https://github.com/op-rs/maili,maili,Composable rust types and interfaces specific to the OP Stack. Built on Alloy.,web_library,Composable rust types and interfaces specific to the OP Stack. Built on Alloy.,Frontend component integration; ES6 module imports,"Activity: 66%, Stars: 16.0, Commits: 135.0","Just, CSS, JavaScript, Handlebars, Rust",7,2
https://github.com/taiki-e/portable-atomic,portable-atomic,"Portable atomic types including support for 128-bit atomics, atomic float, etc.",general_library,Portable atomic types including support for 128-bit atomics atomic float etc.,Standard library integration,"Activity: 66%, Stars: 176.0, Commits: 142.0","Rust, Shell, RPC",8,10
https://github.com/kilian/electron-to-chromium,electron-to-chromium,Provides a list of electron-to-chromium version mappings,mobile_app,Provides a list of electron-to-chromium version mappings,ES6 module imports,"Activity: 66%, Stars: 144.0, Commits: 181.0",JavaScript,7,10
https://github.com/remix-run/react-router,react-router,Declarative routing for React,web_library,Declarative routing for React,Frontend component integration; ES6 module imports,"Activity: 66%, Stars: 54173.0, Commits: 113.0","JavaScript, TypeScript, CSS, Shell",10,10
https://github.com/prettier/prettier,prettier,Prettier is an opinionated code formatter.,web_library,Prettier is an opinionated code formatter.,Frontend component integration; ES6 module imports,"Activity: 66%, Stars: 50042.0, Commits: 102.0","JavaScript, TypeScript, CSS, HTML, Vue",9,10
https://github.com/babel/babel,babel,🐠 Babel is a compiler for writing next generation JavaScript.,development_tool,Babel is a compiler for writing next generation JavaScript.,ES6 module imports,"Activity: 66%, Stars: 43435.0, Commits: 199.0","JavaScript, Makefile, Shell, HTML, TypeScript",11,10
https://github.com/diesel-rs/diesel,diesel,"A safe, extensible ORM and Query Builder for Rust",web_library,A safe extensible ORM and Query Builder for Rust,Frontend component integration,"Activity: 66%, Stars: 13145.0, Commits: 159.0","Rust, Shell, PLpgSQL",6,10
https://github.com/bazel-contrib/rules_go,rules_go,Go rules for Bazel,general_library,Go rules for Bazel,Python import statements,"Activity: 66%, Stars: 1402.0, Commits: 127.0","Python, Go, Assembly, C, Shell",8,10
https://github.com/ethereum/web3.py,web3.py,A python interface for interacting with the Ethereum blockchain and ecosystem.,web3_library,A python interface for interacting with the Ethereum blockchain and ecosystem.,Web3 provider integration; Python import statements,"Activity: 66%, Stars: 4967.0, Commits: 165.0","Makefile, Python, Dockerfile, Solidity, Shell",7,10
https://github.com/openzeppelin/openzeppelin-contracts,openzeppelin-contracts,OpenZeppelin Contracts is a library for secure smart contract development.,web3_library,OpenZeppelin Contracts is a library for secure smart contract development.,Web3 provider integration; ES6 module imports,"Activity: 66%, Stars: 23554.0, Commits: 131.0","JavaScript, Shell, Solidity, Makefile, Ruby",8,10
https://github.com/ethereumjs/ethereumjs-monorepo,ethereumjs-monorepo,Monorepo for the Ethereum VM TypeScript Implementation,web3_library,Monorepo for the Ethereum VM TypeScript Implementation,Web3 provider integration; ES6 module imports,"Activity: 66%, Stars: 2570.0, Commits: 183.0","JavaScript, Python, TypeScript, Shell, Solidity",8,10
https://github.com/pmndrs/zustand,zustand,🐻 Bear necessities for state management in React,web_library,Bear necessities for state management in React,Frontend component integration; ES6 module imports,"Activity: 65%, Stars: 50578.0, Commits: 119.0","JavaScript, TypeScript",9,10
https://github.com/electron/forge,forge,:electron: A complete tool for building and publishing Electron applications,development_tool,electron A complete tool for building and publishing Electron applications,ES6 module imports,"Activity: 65%, Stars: 6619.0, Commits: 60.0","JavaScript, HTML, Shell, TypeScript, CSS",10,10
https://github.com/pimlicolabs/alto,alto,"A performant, reliable, and type-safe ERC-4337 Bundler written in Typescript",smart_contract,A performant reliable and type-safe ERC-4337 Bundler written in Typescript,Smart contract compilation and deployment; ES6 module imports,"Activity: 65%, Stars: 129.0, Commits: 157.0","TypeScript, Dockerfile, Shell, Solidity, JavaScript",5,10
https://github.com/webpro-nl/knip,knip,"✂️  Find unused files, dependencies and exports in your JavaScript and TypeScript projects. Knip it before you ship it!",web_library,Find unused files dependencies and exports in your JavaScript and TypeScript projects. Knip it before,Frontend component integration; ES6 module imports,"Activity: 65%, Stars: 7608.0, Commits: 224.0","JavaScript, TypeScript, Vue, MDX, Shell",11,10
https://github.com/sonarsource/sonarjs,sonarjs,SonarSource Static Analyzer for JavaScript and TypeScript,web_library,SonarSource Static Analyzer for JavaScript and TypeScript,Frontend component integration; ES6 module imports,"Activity: 65%, Stars: 1087.0, Commits: 145.0","Java, HTML, JavaScript, Shell, Vue",6,10
https://github.com/libp2p/js-libp2p,js-libp2p,The JavaScript Implementation of libp2p networking stack.,infrastructure,The JavaScript Implementation of libp2p networking stack.,ES6 module imports,"Activity: 65%, Stars: 2409.0, Commits: 134.0","JavaScript, TypeScript, Dockerfile, Makefile, Go",7,10
https://github.com/mermaid-js/mermaid,mermaid,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,web_library,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as,Frontend component integration; ES6 module imports,"Activity: 65%, Stars: 76276.0, Commits: 111.0","JavaScript, Yacc, HTML, Shell, TypeScript",9,10
https://github.com/python-pillow/pillow,pillow,Python Imaging Library (Fork),general_library,Python Imaging Library Fork,Python import statements,"Activity: 65%, Stars: 12578.0, Commits: 243.0","Python, Shell, HTML, Gnuplot, C",9,10
https://github.com/squidfunk/mkdocs-material,mkdocs-material,Documentation that simply works,documentation,Documentation that simply works,ES6 module imports,"Activity: 65%, Stars: 22279.0, Commits: 182.0","HTML, Python, Dockerfile, TypeScript, SCSS",10,10
https://github.com/tokio-rs/tokio,tokio,"A runtime for writing reliable asynchronous applications with Rust. Provides I/O, networking, scheduling, timers, ...",infrastructure,A runtime for writing reliable asynchronous applications with Rust. Provides I O networking scheduling timers,Standard library integration,"Activity: 65%, Stars: 28042.0, Commits: 187.0","Rust, RenderScript",8,10
https://github.com/libp2p/go-libp2p,go-libp2p,libp2p implementation in Go,infrastructure,libp2p implementation in Go,Standard library integration,"Activity: 65%, Stars: 6250.0, Commits: 119.0","Go, Shell, Standard ML",7,10
https://github.com/ethereum/sourcify,sourcify,Decentralized Solidity contract source code verification service,smart_contract,Decentralized Solidity contract source code verification service,Smart contract compilation and deployment; ES6 module imports,"Activity: 65%, Stars: 772.0, Commits: 173.0","JavaScript, Shell, Dockerfile, TypeScript, Solidity",6,10
https://github.com/grandinetech/grandine,grandine,High performance Ethereum consensus client,web3_library,High performance Ethereum consensus client,Web3 provider integration,"Activity: 65%, Stars: 195.0, Commits: 135.0","Rust, Shell, Ruby, HTML, Dockerfile",5,10
https://github.com/skyleen77/next-nprogress-bar,next-nprogress-bar,NProgress integration on Next.js compatible with /app and /pages folders,mobile_app,NProgress integration on Next.js compatible with app and pages folders,ES6 module imports,"Activity: 64%, Stars: 333.0, Commits: 40.0","JavaScript, TypeScript, CSS, MDX, HTML",6,10
https://github.com/preactjs/preact,preact,⚛️ Fast 3kB React alternative with the same modern API. Components & Virtual DOM.,api_service,Fast 3kB React alternative with the same modern API. Components Virtual DOM.,REST/GraphQL API integration; ES6 module imports,"Activity: 64%, Stars: 37189.0, Commits: 134.0","JavaScript, TypeScript",9,10
https://github.com/coinbase/coinbase-wallet-sdk,coinbase-wallet-sdk,An open protocol that lets users connect their mobile wallets to your DApp,web3_library,An open protocol that lets users connect their mobile wallets to your DApp,Web3 provider integration; ES6 module imports,"Activity: 64%, Stars: 1401.0, Commits: 123.0","TypeScript, JavaScript, SCSS, Shell",6,10
https://github.com/vuepress/ecosystem,ecosystem,Official plugins and themes for VuePress2,web_library,Official plugins and themes for VuePress2,Frontend component integration; ES6 module imports,"Activity: 64%, Stars: 40.0, Commits: 139.0","JavaScript, TypeScript, CSS, Vue, SCSS",8,4
https://github.com/boa-dev/boa,boa,"Boa is an embeddable and experimental Javascript engine written in Rust. Currently, it has support for some of the language.",web_library,Boa is an embeddable and experimental Javascript engine written in Rust. Currently it has support,Frontend component integration; ES6 module imports,"Activity: 64%, Stars: 5428.0, Commits: 146.0","Rust, JavaScript, RenderScript",7,10
https://github.com/fastify/fastify,fastify,"Fast and low overhead web framework, for Node.js",development_framework,Fast and low overhead web framework for Node.js,Framework scaffolding and templates; ES6 module imports,"Activity: 64%, Stars: 33119.0, Commits: 164.0","JavaScript, TypeScript, Shell",9,10
https://github.com/rust-lang/libm,libm,A port of MUSL's libm to Rust.,general_library,A port of MUSL s libm to Rust.,Standard library integration,"Activity: 64%, Stars: 618.0, Commits: 56.0","Shell, Rust, Dockerfile, C, Julia",9,10
https://github.com/rustcrypto/formats,formats,"Cryptography-related format encoders/decoders: DER, PEM, PKCS, PKIX",general_library,Cryptography-related format encoders decoders DER PEM PKCS PKIX,Standard library integration,"Activity: 64%, Stars: 263.0, Commits: 99.0","Rust, Shell",9,10
https://github.com/winnow-rs/winnow,winnow,Making parsing a breeze,general_library,Making parsing a breeze,Standard library integration,"Activity: 64%, Stars: 681.0, Commits: 62.0",Rust,11,10
https://github.com/libp2p/rust-libp2p,rust-libp2p,The Rust Implementation of the libp2p networking stack. ,infrastructure,The Rust Implementation of the libp2p networking stack.,Python import statements,"Activity: 64%, Stars: 4855.0, Commits: 153.0","Rust, Shell, Dockerfile, Python, Go",7,10
https://github.com/kubernetes/client-go,client-go,Go client for Kubernetes.,development_tool,Go client for Kubernetes.,Standard library integration,"Activity: 64%, Stars: 9290.0, Commits: 131.0",Go,9,10
https://github.com/vyperlang/vyper,vyper,Pythonic Smart Contract Language for the EVM,web3_library,Pythonic Smart Contract Language for the EVM,Web3 provider integration; Python import statements,"Activity: 64%, Stars: 4984.0, Commits: 147.0","Python, Makefile, Dockerfile, Batchfile, Shell",8,10
https://github.com/uniswap/sdks,sdks,prototype SDK monorepo,smart_contract,prototype SDK monorepo,Smart contract compilation and deployment; ES6 module imports,"Activity: 63%, Stars: 1.0, Commits: 110.0","TypeScript, Solidity, JavaScript",7,8
https://github.com/apollographql/apollo-client,apollo-client,":rocket:  A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server.",development_framework,rocket A fully-featured production ready caching GraphQL client for every UI framework and GraphQL server.,Framework scaffolding and templates; ES6 module imports,"Activity: 63%, Stars: 19477.0, Commits: 123.0","TypeScript, JavaScript, Shell, HTML",8,10
https://github.com/panva/jose,jose,"JWA, JWS, JWE, JWT, JWK, JWKS for Node.js, Browser, Cloudflare Workers, Deno, Bun, and other Web-interoperable runtimes",client,JWA JWS JWE JWT JWK JWKS for Node.js Browser Cloudflare Workers Deno Bun and other,ES6 module imports,"Activity: 63%, Stars: 5642.0, Commits: 76.0","JavaScript, TypeScript, Shell",11,10
https://github.com/publint/publint,publint,Lint packaging errors,web_library,Lint packaging errors,Frontend component integration; ES6 module imports,"Activity: 63%, Stars: 1047.0, Commits: 36.0","JavaScript, Svelte, CSS, Shell, Vue",11,10
https://github.com/shikijs/shiki,shiki,A beautiful yet powerful syntax highlighter,web_library,A beautiful yet powerful syntax highlighter,Frontend component integration; ES6 module imports,"Activity: 63%, Stars: 11006.0, Commits: 106.0","TypeScript, JavaScript, HTML, CSS",9,10
